user_id,name,timestamp,rating,text
-_RukL65tHq7m89swcdLTQ,Richard H.,2024-01-20 11:34:26,5,"Super fusion of India and Mexico. Friendly, quick service;  wish there were more locations"
gEuaZkpeOkg5eQibMeDi2A,Jose P.,2024-03-03 16:21:10,5,"Taco Mahal was a very unique experience. I've never seen an Indian/Mexican fusion, but this was a delight. 
The restaurant is small, but it is nicely..."
yn2jElvZdrJtAg_bIDAGtw,Rehnuma K.,2024-02-19 17:08:16,5,"1/1 Ambience; 1.5/2 Food + Beverages; 1/1 Service; 1/1 Value

Taco Mahal is a fast-casual joint serving up desi classics in a fun, vibrant atmosphere. The..."
Uf-wTpxNV8HX9QU18BiO_w,Katia K.,2024-02-14 17:54:41,5,The food is super delicious! Definitely my new favorite go-to for some great pasta. Everything from the music to the vibes to our epic server Gabriel!...
aRjF2KOPXOibQ8j9h1vz1w,diana a.,2024-02-23 13:22:00,5,"The food is good. If you're the kind of foodie who takes themself really seriously & you pride yourself on having a sophisticated palate, then there is..."
2Z242BMwjRJa6mbubfdxaQ,Monique T.,2024-02-21 11:06:55,5,Loveeed this spot. They accommodate my food restrictions & I had the best service and most beautiful ambiance!
5GsUon1DF-wgK0mcwX3Yvw,Shah Q.,2024-02-03 15:04:55,5,"The trip to Nolita is well worth the buzz surrounding their renowned Corn Y Cubano! During the years I worked in this neighborhood, I would get weekly..."
feZiLc7Iatp72NYZ7KlONQ,Kai E.,2023-09-13 09:53:24,5,The steak sandwich was delicious!! I also had the frozen margarita which was fire. Fries were a tiny bit soggy so I'd suggest asking for extra crispy if you...
jXtKOhfHVSMeGAGj9whDdA,May W.,2023-12-17 08:31:42,4,The Mexican corn was nicely grilled and seasoned. and the  Cascadia portion was very generous and tasty. pollo midador the chicken breast was on the thin...
HbQu4--OD5T2IZD3YHDPBg,Lucero S.,2024-03-08 10:47:46,4,"Joe's Shanghai holds a special place in my heart whenever I'm in Chinatown--it's a must-visit spot! Consistently, it impresses with its impeccable service..."
